Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
188,George Washington,A-10,,16,16,76.3,76.7,-0.44,,-0.61,,5.67,-7.6,-1.93,107.72,110.12,-2.4
189,Lipscomb,A-Sun,,20,13,76.4,71,5.39,,-4.02,,1.65,-3.6,-1.95,101.66,104.58,-2.92
190,Rice,CUSA,,19,16,76.9,76.6,0.37,,1.4,,4.94,-6.89,-1.95,106.13,108.79,-2.65
191,San Diego,WCC,,11,20,77.1,80.5,-3.35,,3.28,,5.69,-7.75,-2.06,108.88,111.66,-2.79
192,Drexel,CAA,,17,15,66.7,62.4,4.31,,-5.43,,-6.38,4.11,-2.27,98.51,101.3,-2.79
193,South Carolina,SEC,,11,21,64.3,72.6,-8.28,,6,,-3.41,1.13,-2.28,102.13,105.85,-3.73
194,Texas State,Sun Belt,,16,19,66,66.7,-0.71,,-0.7,,-5.22,2.9,-2.32,101.6,105.15,-3.56
195,Chattanooga,Southern,,18,17,77.2,72.1,5.11,,-3.34,,1.97,-4.3,-2.34,104.94,108.19,-3.26
196,Wright State,Horizon,,18,15,79.9,73.7,6.21,,-5.89,,4.18,-6.52,-2.34,101.75,105.18,-3.43
197,Quinnipiac,MAAC,,20,12,73,69.7,3.25,,-5.2,,1.17,-3.6,-2.43,101.33,104.87,-3.54
198,Brown,Ivy,,14,13,69.6,69.3,0.22,,-2.69,,-2.35,-0.12,-2.47,97.53,100.79,-3.25
199,Texas A&M-Corpus Christi,Southland,,24,11,80.1,73.2,6.91,,-7.02,,2.27,-4.84,-2.57,103.85,107.1,-3.25
200,Cleveland State,Horizon,,21,14,71.8,68.7,3.06,,-5.05,,-2.26,-0.33,-2.6,101.45,105.15,-3.7
201,Florida Gulf Coast,A-Sun,,17,15,71.3,69.4,1.81,,-3.08,,-1.91,-0.72,-2.63,101.46,105.28,-3.82
202,Northern Iowa,MVC,,14,18,70.1,69.9,0.19,,-1.07,,-1.49,-1.2,-2.68,101.26,105.11,-3.85
203,Florida International,CUSA,,14,18,73.1,75.1,-2.03,,0.32,,1.62,-4.33,-2.71,100.69,103.96,-3.26
204,Abilene Christian,WAC,,13,17,75,71.1,3.87,,0.9,,1.19,-3.98,-2.79,102.67,106.34,-3.67
205,La Salle,A-10,,15,19,69.8,72.6,-2.76,,-0.02,,-0.62,-2.17,-2.79,101.27,105.34,-4.07
206,Navy,Patriot,,18,13,69.4,64.9,4.48,,-6.12,,-4.65,1.86,-2.79,100.2,103.95,-3.75
207,Stetson,A-Sun,,17,14,76.8,73.8,3.03,,-2.69,,2.37,-5.2,-2.83,108.72,112.61,-3.89
208,North Carolina Central,MEAC,,18,12,75.6,65.9,9.7,,-6.1,,-2.66,-0.25,-2.91,97.86,101.81,-3.96
209,Weber State,Big Sky,,18,15,67.2,67.5,-0.3,,-1.33,,-5.53,2.59,-2.94,97.37,101.82,-4.44
210,Buffalo,MAC,,15,17,77.5,77.7,-0.13,,0.67,,3.67,-6.64,-2.97,101.05,104.33,-3.27
211,St. Thomas,Summit,,19,14,74.2,70.2,3.97,,-4.65,,-0.5,-2.6,-3.1,105.18,109.26,-4.08
212,Detroit Mercy,Horizon,,14,19,76.6,75.3,1.24,,-3.61,,3.03,-6.23,-3.21,107.45,112.14,-4.69
213,Georgia Southern,Sun Belt,,17,16,68.4,66.7,1.7,,-2.02,,-4.87,1.62,-3.25,97.6,102.2,-4.6
214,California,Pac-12,,3,29,58.3,70.1,-11.78,,8.43,,-7.67,4.32,-3.36,96.77,102.85,-6.08
215,Siena,MAAC,,17,15,68.6,67.2,1.38,,-4.82,,-2.88,-0.56,-3.44,99.41,104.17,-4.76
216,Rider,MAAC,,16,14,70.2,67.6,2.6,,-4.9,,-2.13,-1.36,-3.49,103.31,108.21,-4.9
217,Bryant,AEC,,17,13,79.4,73.1,6.27,,-4.52,,3.75,-7.34,-3.59,101.85,106.94,-5.09
218,Norfolk State,MEAC,,22,11,75.8,68.6,7.18,,-6.62,,-1.5,-2.22,-3.72,104.49,109.64,-5.15
219,Gardner-Webb,Big South,,15,16,70.7,65.5,5.16,,-4.64,,-5.77,1.92,-3.84,95.55,100.8,-5.25
220,Northern Arizona,Big Sky,,12,23,73.7,74.7,-0.97,,-0.2,,0.85,-4.72,-3.87,104.01,109.33,-5.32
221,Grambling,SWAC,,24,9,69,62.2,6.73,,-8.48,,-6.85,2.82,-4.03,95.23,100.34,-5.11
222,Queens (NC),A-Sun,,18,15,77.7,74.6,3.06,,-4.26,,2.57,-6.72,-4.16,104.17,110.37,-6.21
223,Rhode Island,A-10,,9,22,66,70.6,-4.65,,0.49,,-4.41,0.25,-4.16,95.98,101.65,-5.67
224,Murray State,MVC,,17,15,70.4,72,-1.59,,-1.61,,-0.81,-3.64,-4.45,102.41,109.43,-7.02
225,North Dakota State,Summit,,16,17,72.8,73.2,-0.3,,-2.11,,-1.31,-3.25,-4.56,101.09,107.3,-6.21
226,Sacramento State,Big Sky,,14,18,66.1,67.8,-1.72,,-1.6,,-6.07,1.44,-4.63,100.49,107.55,-7.06
227,Loyola (IL),A-10,,10,21,67.4,72.5,-5.1,,0.44,,-3.07,-1.58,-4.65,99.85,106.38,-6.52
228,Northern Colorado,Big Sky,,12,20,73.6,77.5,-3.91,,-0.65,,2.92,-7.57,-4.65,103.33,109.91,-6.58
229,Milwaukee,Horizon,,22,12,78.2,74.2,4.03,,-3.98,,2.78,-7.47,-4.69,99.36,105.99,-6.63
230,Northwestern State,Southland,,22,11,74.6,72.1,2.58,,-7.04,,-1.58,-3.14,-4.72,101.36,107.85,-6.49
231,UT Arlington,WAC,,11,21,66.4,68.4,-2.03,,2.12,,-5.93,0.95,-4.98,97.5,105.16,-7.66
232,Wofford,Southern,,17,16,74.7,72.5,2.24,,-3.32,,-0.02,-5,-5.02,105.54,112.93,-7.39
233,Howard,MEAC,,22,13,75.3,72.6,2.63,,-5.14,,-0.86,-4.19,-5.04,98.89,106.03,-7.14
234,Mercer,Southern,,14,19,68.7,67,1.73,,-3.98,,-6.84,1.73,-5.11,96.9,104.26,-7.36
235,Portland State,Big Sky,,12,19,76.2,75.5,0.74,,-0.58,,2.92,-8.09,-5.17,100.02,106.97,-6.95
236,Campbell,Big South,,16,18,69.8,68.5,1.32,,-4.89,,-3.55,-1.68,-5.23,101.19,108.88,-7.69
237,Louisville,ACC,,4,28,63.9,75.8,-11.84,,6.45,,-3.52,-1.87,-5.39,100.22,108.57,-8.35
238,Purdue Fort Wayne,Horizon,,17,15,73.9,69.8,4.06,,-4.96,,-2.69,-2.76,-5.46,97.14,105.49,-8.35
239,Delaware,CAA,,17,16,69.6,70.7,-1.06,,-3.72,,-2.73,-2.84,-5.57,99.74,107.27,-7.53
240,Robert Morris,Horizon,,16,17,69.3,66.8,2.48,,-5.57,,-6.61,0.79,-5.83,95.93,104.44,-8.51
241,East Tennessee State,Southern,,12,20,69.1,69,0.09,,-4.44,,-5.46,-0.55,-6,98.2,106.94,-8.75
242,Jacksonville,A-Sun,,13,16,63.3,62.6,0.72,,-2.54,,-11.73,5.54,-6.19,96.41,105.72,-9.31
243,Maryland-Baltimore County,AEC,,18,14,74.3,72.8,1.56,,-6.96,,-0.21,-6.01,-6.22,103.15,112.16,-9.01
244,Western Carolina,Southern,,18,16,73.9,70.7,3.18,,-4.08,,-2,-4.34,-6.34,98.24,107.12,-8.88
245,SIU Edwardsville,OVC,,19,14,74.6,71.3,3.33,,-7.52,,-2.92,-3.53,-6.45,96.98,105.83,-8.85
246,Texas-Rio Grande Valley,WAC,,15,17,78.7,78.2,0.5,,-0.55,,3.79,-10.27,-6.48,100.19,108.95,-8.75
247,Northern Illinois,MAC,,13,19,72,75,-3.03,,-2.65,,-2.37,-4.17,-6.55,97.06,106.03,-8.97
248,Idaho State,Big Sky,,11,21,69.2,71,-1.84,,-2.96,,-4.33,-2.23,-6.56,99.19,108.6,-9.4
249,Winthrop,Big South,,15,17,73.8,74.4,-0.69,,-3.59,,0.53,-7.16,-6.63,104.66,114.26,-9.6
250,Jacksonville State,A-Sun,,13,18,69.9,70.3,-0.39,,-2.6,,-5.32,-1.35,-6.67,97.77,107.69,-9.92
251,North Florida,A-Sun,,14,17,76.2,77.6,-1.35,,-2.54,,2.46,-9.2,-6.75,104.09,113.65,-9.56
252,Niagara,MAAC,,16,15,65,65.9,-0.9,,-4.58,,-8.34,1.56,-6.78,98.75,108.92,-10.17
253,Georgia State,Sun Belt,,10,21,66.7,69.4,-2.65,,-0.93,,-5.77,-1.02,-6.79,95.45,105.23,-9.78
254,UC San Diego,Big West,,10,20,68.6,73,-4.4,,-0.76,,-3.13,-3.81,-6.94,98.07,108.76,-10.69
255,Fairfield,MAAC,,13,18,64.9,66,-1.06,,-4.51,,-7.16,0.18,-6.98,96.28,106.7,-10.42
256,Canisius,MAAC,,10,20,70.4,72.3,-1.93,,-3.46,,-2.26,-4.79,-7.05,98.46,108.25,-9.8
257,Morehead State,OVC,,22,12,69.8,66.6,3.18,,-5.07,,-9.07,1.97,-7.1,97.05,106.68,-9.63
258,Army,Patriot,,17,16,73.1,70.4,2.73,,-7.58,,-1.22,-5.91,-7.13,100.43,110.29,-9.86
259,Illinois State,MVC,,11,21,66.5,70.5,-4,,-3.38,,-5.67,-1.71,-7.38,97.61,108.1,-10.5
260,Southeast Missouri State,OVC,,19,17,77.5,75.9,1.53,,-6.81,,1.96,-9.36,-7.4,97.81,107.97,-10.16
261,Bellarmine,A-Sun,,15,18,66.3,67.2,-0.88,,-1.35,,-8.28,0.86,-7.42,99.16,110.7,-11.54
262,South Carolina Upstate,Big South,,16,16,68.7,69.5,-0.84,,-3.81,,-5.44,-2.01,-7.44,95.49,106.59,-11.1
263,Miami (OH),MAC,,12,20,73.7,74.5,-0.88,,-2.43,,-2.23,-5.24,-7.46,101.95,112.29,-10.34
264,Cal Poly,Big West,,8,25,60.8,65.9,-5.09,,-0.54,,-11.18,3.67,-7.51,91.45,103.24,-11.8
265,Western Illinois,Summit,,16,14,73,72.4,0.67,,-4.73,,-3.43,-4.16,-7.59,99.53,110.87,-11.34
266,North Dakota,Summit,,13,20,72.1,73.9,-1.76,,-3.09,,-2.17,-5.43,-7.6,100.39,111.51,-11.13
267,Maryland-Eastern Shore,MEAC,,18,13,69.7,66.3,3.48,,-5.48,,-6.97,-0.66,-7.63,92.16,103.1,-10.94
268,UTSA,CUSA,,10,22,69.3,76.6,-7.28,,1.16,,-0.67,-7.07,-7.74,99.82,110.24,-10.42
269,Lafayette,Patriot,,11,23,62.4,65.6,-3.29,,-4.53,,-10.94,3.11,-7.83,92.52,104.19,-11.67
270,Dartmouth,Ivy,,10,18,71.4,72.4,-1.04,,-2.52,,-3.2,-4.78,-7.98,95.28,106.38,-11.1
271,Southeastern Louisiana,Southland,,18,14,77.6,76,1.59,,-6.73,,0.27,-8.27,-8,100.01,110.73,-10.72
272,Oakland,Horizon,,13,19,73.3,76.3,-2.97,,-2.9,,0.04,-8.09,-8.06,101.18,112.47,-11.29
273,Arkansas State,Sun Belt,,13,20,65.7,67.6,-1.91,,-3.3,,-8.6,0.53,-8.07,97.76,109.74,-11.98
274,Boston University,Patriot,,15,17,67.1,67.2,-0.13,,-6.52,,-6.99,-1.11,-8.1,95,106.71,-11.71
275,Mount St. Mary's,MAAC,,13,20,63.7,67,-3.36,,-4.02,,-7.94,-0.24,-8.18,93.43,105.33,-11.9
276,American,Patriot,,17,15,65.4,65.9,-0.53,,-7.73,,-8.24,-0.02,-8.26,97.75,109.69,-11.95
277,Cal State Bakersfield,Big West,,11,22,60.5,64.7,-4.21,,-1.47,,-11.29,2.95,-8.34,91.78,104.41,-12.63
278,Marist,MAAC,,13,20,63.9,66.7,-2.76,,-5.68,,-8.19,-0.25,-8.44,94.78,107.04,-12.26
279,Bowling Green State,MAC,,11,20,76,78.5,-2.55,,-3.81,,-0.09,-8.37,-8.46,99.64,111.34,-11.7
280,Tulsa,AAC,,5,25,65.3,77.4,-12.13,,3.66,,-3.29,-5.19,-8.48,97.65,110.33,-12.67
281,Nicholls State,Southland,,16,15,75.6,72.7,2.94,,-5.46,,-2.74,-5.8,-8.54,95,106.22,-11.22
282,Southern,SWAC,,15,17,71.9,71.3,0.63,,-6.5,,-3.81,-4.76,-8.57,93.89,105.72,-11.83
283,Louisiana-Monroe,Sun Belt,,11,21,67.4,69.8,-2.44,,-0.57,,-6.7,-1.94,-8.64,94.26,106.7,-12.44
284,North Alabama,A-Sun,,18,15,74.1,74.3,-0.18,,-3.95,,-1.21,-7.45,-8.65,99,110.83,-11.83
285,Tennessee-Martin,OVC,,19,14,80.5,75.4,5.12,,-7.91,,0.66,-9.33,-8.67,97.47,109.66,-12.19
286,Idaho,Big Sky,,10,22,73,72.9,0.09,,-3.86,,-3.48,-5.21,-8.7,100.02,113.26,-13.24
287,Valparaiso,MVC,,11,21,68.9,73.6,-4.66,,-2.75,,-4.05,-4.67,-8.72,95.21,107.56,-12.34
288,Alcorn State,SWAC,,18,14,67.7,70.6,-2.94,,-5.81,,-3.93,-4.82,-8.74,97.6,109.68,-12.08
289,Illinois-Chicago,MVC,,12,20,67.2,71.6,-4.47,,-3.12,,-4.11,-4.72,-8.83,93.88,106.59,-12.71
290,Southern Indiana,OVC,,16,17,75.8,74.2,1.61,,-7.13,,-0.22,-8.65,-8.87,98.93,111.53,-12.59
291,Maine,AEC,,13,17,68.5,69.7,-1.23,,-4.66,,-6.07,-2.81,-8.88,96.18,109.24,-13.06
292,Prairie View,SWAC,,13,19,67.8,68.6,-0.88,,-6.58,,-7.51,-1.41,-8.92,91.81,104,-12.19
293,Coastal Carolina,Sun Belt,,11,20,73.3,74,-0.68,,-1.75,,-0.97,-7.96,-8.93,100.65,113.4,-12.75
294,FDU,NEC,,21,16,77.4,74.2,3.22,,-9.83,,1.71,-10.69,-8.98,102.73,115.37,-12.64
295,Tennessee State,OVC,,18,14,78.1,75,3.06,,-8.94,,-1.12,-7.9,-9.01,97.51,110.49,-12.98
296,New Hampshire,AEC,,15,15,66.4,67,-0.63,,-5.7,,-9.9,0.84,-9.05,93.89,106.88,-12.99
297,Lehigh,Patriot,,16,14,69.8,69.4,0.4,,-6.04,,-4.67,-4.41,-9.08,93.41,106.55,-13.14
298,Tennessee Tech,OVC,,16,17,73.7,73.4,0.33,,-6.37,,-3.29,-6.11,-9.4,98.22,111.37,-13.15
299,Charleston Southern,Big South,,10,21,72.6,74.4,-1.74,,-4.47,,-2.44,-7,-9.44,101.78,115.83,-14.05
300,Denver,Summit,,15,17,72.7,75.1,-2.41,,-5.89,,-2.14,-7.42,-9.56,96.98,110.84,-13.86
301,Kansas City,Summit,,11,21,64.4,68.7,-4.34,,-3.28,,-10.47,0.7,-9.78,92.16,106.48,-14.33
302,Manhattan,MAAC,,12,18,67.2,70.4,-3.2,,-4.94,,-5.47,-4.4,-9.87,94.73,108.76,-14.03
303,South Dakota,Summit,,12,19,69.3,73.6,-4.29,,-3.32,,-4.63,-5.24,-9.87,98.76,113.18,-14.42
304,High Point,Big South,,14,17,74.6,77.2,-2.58,,-5.23,,-0.66,-9.22,-9.88,96.56,110.38,-13.82
305,Saint Peter's,MAAC,,14,18,62.1,65.1,-3.03,,-5.25,,-11.01,1.11,-9.9,93.23,108.31,-15.08
306,Bucknell,Patriot,,12,20,67.5,68.5,-0.97,,-6.96,,-5.99,-3.94,-9.93,95.38,109.66,-14.28
307,Northeastern,CAA,,10,20,65.3,71.7,-6.37,,-3.96,,-6.6,-3.73,-10.33,93.89,108.82,-14.94
308,Cal State Northridge,Big West,,7,25,63.4,68.6,-5.19,,-1.74,,-9.43,-0.98,-10.4,92.62,108.3,-15.68
309,Binghamton,AEC,,13,18,68.8,71.5,-2.71,,-5.51,,-6.08,-4.36,-10.44,95,110.35,-15.35
310,Western Michigan,MAC,,8,23,69.9,74,-4.16,,-2.34,,-4.21,-6.34,-10.55,100.05,115.76,-15.71
311,Texas Southern,SWAC,,14,21,69.2,71.9,-2.74,,-5.05,,-5.01,-5.56,-10.56,92.07,106.69,-14.62
312,Alabama A&M,SWAC,,15,18,69.6,70.9,-1.3,,-7.71,,-6.15,-4.63,-10.78,93.65,108.46,-14.81
313,Omaha,Summit,,9,23,68.5,76.2,-7.69,,-1.83,,-3.97,-6.83,-10.8,96.97,112.66,-15.69
314,William & Mary,CAA,,13,20,67.2,70.3,-3.06,,-4.18,,-6.98,-4,-10.99,96.81,112.88,-16.07
315,Eastern Michigan,MAC,,8,23,72.2,80.8,-8.58,,-1.88,,-0.9,-10.15,-11.05,98.59,113.8,-15.21
316,Texas A&M-Commerce,Southland,,13,20,71.6,73.4,-1.79,,-7.53,,-5.24,-5.85,-11.09,96.88,112.42,-15.54
317,Merrimack,NEC,,18,16,62.6,62.3,0.26,,-9.12,,-13.48,2.3,-11.18,86.01,101.97,-15.96
318,Chicago State,Ind,,11,20,70.3,73,-2.71,,-3.51,,-6.47,-4.82,-11.29,98.16,114.37,-16.2
319,Jackson State,SWAC,,14,19,67.6,73.6,-5.97,,-5.39,,-5.23,-6.13,-11.36,95,110.69,-15.69
320,North Carolina A&T,CAA,,13,19,70.8,73.8,-3.06,,-3.95,,-3.11,-8.3,-11.4,94.72,110.88,-16.16
321,Morgan State,MEAC,,15,16,74.9,72.3,2.61,,-6.1,,-5.12,-6.47,-11.58,89.86,105.51,-15.66
322,Wagner,NEC,,15,13,63.1,61.7,1.39,,-10.85,,-14.25,2.44,-11.81,89.77,106.21,-16.44
323,Central Michigan,MAC,,10,21,65.7,73,-7.26,,-2.62,,-9.04,-2.93,-11.97,89.78,107.14,-17.36
324,Loyola (MD),Patriot,,13,20,67.3,70.6,-3.3,,-6.14,,-7.51,-4.54,-12.05,95.03,113.13,-18.1
325,The Citadel,Southern,,10,22,67.4,74.2,-6.75,,-3.77,,-6.79,-5.34,-12.13,94.5,111.9,-17.41
326,Austin Peay,A-Sun,,9,22,66.7,72.3,-5.61,,-2.6,,-9.5,-2.67,-12.17,93.79,111.38,-17.59
327,Stony Brook,CAA,,11,22,63.1,69.1,-5.94,,-4.13,,-11.23,-1.22,-12.45,91.86,110.19,-18.34
328,NJIT,AEC,,7,23,66.9,72.7,-5.8,,-5.61,,-6.74,-5.83,-12.57,93.77,112.38,-18.61
329,Little Rock,OVC,,10,21,75.4,79.4,-4,,-6.97,,0.02,-12.64,-12.62,98.37,115.88,-17.51
330,Sacred Heart,NEC,,16,17,70.7,71.2,-0.58,,-10.91,,-4.54,-8.24,-12.78,92.58,110.5,-17.92
331,Elon,CAA,,8,24,65.4,71.6,-6.16,,-4.38,,-8.27,-4.57,-12.85,93.84,112.35,-18.51
332,Stonehill,NEC,,14,17,67,69.6,-2.61,,-8.59,,-8.31,-4.54,-12.86,91.36,109.69,-18.33
333,Arkansas-Pine Bluff,SWAC,,10,21,66.9,69.7,-2.84,,-5.36,,-6.87,-6.12,-12.99,90.04,108.51,-18.47
334,Saint Francis (PA),NEC,,13,18,73,73.7,-0.74,,-9.27,,-3.26,-10.16,-13.41,97.35,117,-19.64
335,Presbyterian,Big South,,5,27,63.2,69.5,-6.31,,-5.02,,-11.32,-2.24,-13.55,90.78,111.28,-20.5
336,McNeese State,Southland,,11,23,69.2,75.4,-6.26,,-5.48,,-6.9,-6.74,-13.63,95.28,114.72,-19.44
337,Central Connecticut State,NEC,,10,22,66,70.2,-4.19,,-9.49,,-9.04,-4.64,-13.68,93.4,113.19,-19.79
338,Central Arkansas,A-Sun,,9,22,72.9,81.5,-8.58,,-3.15,,-0.76,-12.96,-13.72,94.12,112.84,-18.73
339,Eastern Illinois,OVC,,9,22,68.8,72.1,-3.26,,-6.75,,-8.98,-5.11,-14.09,90.41,110.54,-20.13
340,New Orleans,Southland,,12,20,73.1,79.3,-6.13,,-7.36,,-2.59,-11.64,-14.23,94.32,113.86,-19.55
341,Holy Cross,Patriot,,10,22,66.8,72.6,-5.88,,-6.4,,-7.39,-6.88,-14.27,90.28,110.69,-20.41
342,Albany (NY),AEC,,8,23,67.3,75.2,-7.94,,-4.53,,-6.22,-8.14,-14.36,94.51,115.59,-21.09
343,Columbia,Ivy,,7,22,67.8,75.8,-7.97,,-2.37,,-6.46,-7.91,-14.37,90.34,110.1,-19.76
344,Coppin State,MEAC,,9,23,72,83.2,-11.16,,-3.6,,-0.54,-14.22,-14.76,95.36,115.42,-20.06
345,Lindenwood,OVC,,11,21,69.6,73.8,-4.25,,-6.35,,-7.71,-7.09,-14.8,91.35,112.14,-20.79
346,Incarnate Word,Southland,,12,19,70.8,73.9,-3.1,,-8.28,,-8.23,-6.83,-15.06,91.93,113.03,-21.1
347,Evansville,MVC,,5,27,62.4,76,-13.59,,-1.54,,-8.67,-6.47,-15.14,88.09,109.33,-21.23
348,Hampton,CAA,,8,24,68.2,77.5,-9.31,,-4.71,,-5.38,-9.87,-15.25,93.41,114.73,-21.32
349,Monmouth,CAA,,7,26,61.7,74.7,-13.03,,-2.61,,-9.54,-6.11,-15.64,88.49,111.58,-23.08
350,VMI,Southern,,7,25,69.4,76.8,-7.41,,-3.45,,-6.5,-9.64,-16.14,94.43,118.08,-23.65
351,Alabama State,SWAC,,8,23,63.3,72.6,-9.32,,-6.29,,-11.11,-5.22,-16.33,88.63,111.29,-22.66
352,St. Francis (NY),NEC,,14,16,64.9,67.8,-2.93,,-11.17,,-12.72,-3.78,-16.49,86.44,110.44,-24
353,South Carolina State,MEAC,,5,26,73.4,83.8,-10.48,,-4.13,,-1.65,-15.08,-16.73,94.05,116.14,-22.09
354,Bethune-Cookman,SWAC,,12,20,67.9,75,-7.16,,-7.82,,-7.04,-10.11,-17.15,91.43,115.04,-23.61
355,Houston Christian,Southland,,10,22,77.6,83.1,-5.5,,-6.94,,-1.5,-15.68,-17.18,96.76,120.1,-23.34
356,Lamar,Southland,,9,22,67.9,74.5,-6.68,,-7.65,,-10.01,-7.39,-17.4,90.65,115.07,-24.42
357,Delaware State,MEAC,,6,24,64.6,75.5,-10.87,,-4.95,,-10.09,-7.61,-17.7,88.59,113.34,-24.75
358,Florida A&M,SWAC,,7,22,58.6,70,-11.38,,-4.99,,-14.36,-3.45,-17.81,86.33,112.27,-25.94
359,Mississippi Valley State,SWAC,,5,27,61,74.8,-13.72,,-4.56,,-11.4,-6.88,-18.28,87.04,113.04,-26
360,IUPUI,Horizon,,5,27,65.3,76.8,-11.47,,-5.57,,-8.88,-10.12,-19,91.01,118.47,-27.46
361,Green Bay,Horizon,,3,29,59.3,76.5,-17.16,,-3.14,,-13.92,-6.38,-20.3,86.19,116.34,-30.15
362,Hartford,Ind,,5,23,62.8,71.1,-8.36,,-7.96,,-14.68,-8.44,-23.12,84.31,118.29,-33.98
363,Long Island University,NEC,,3,26,66.7,80,-13.24,,-6.61,,-9.2,-15.27,-24.46,83.42,116.48,-33.06