Team,kaggle_id,seed,BADJ D
Houston,1222,1,90
North Carolina,1314,1,92.3
Purdue,1345,1,93.5
UConn,1163,1,97.1
Arizona,1112,2,97.8
Iowa St.,1235,2,97.2
Marquette,1266,2,94.4
Tennessee,1397,2,96.7
Baylor,1124,3,104.2
Creighton,1166,3,93.5
Illinois,1228,3,101.6
Kentucky,1246,3,98.6
Alabama,1104,4,102.7
Auburn,1120,4,93.6
Duke,1181,4,97
Kansas,1242,4,94.6
Gonzaga,1211,5,0
Saint Mary's,1388,5,92.7
San Diego St.,1361,5,98.7
Wisconsin,1458,5,97.8
BYU,1140,6,96.4
Clemson,1155,6,99.5
South Carolina,1376,6,96.2
Texas Tech,1403,6,103.2
Dayton,1173,7,98.6
Florida,1196,7,101.4
Texas,1400,7,103.1
Washington St.,1450,7,97.4
Yale,1463,8,0
Mississippi St.,1280,8,96
Nebraska,1304,8,102.6
Utah St.,1429,8,96.3
Michigan St.,1277,9,97.9
Northwestern,1321,9,96.3
TCU,1395,9,101.3
Texas A&M,1401,9,101.1
Boise St.,1129,10,96.2
Colorado St.,1160,10,97.1
Colorado State,1161,10,0
Drake,1179,10,0
Nevada,1305,10,0
Virginia,1438,10,98.3
Duquesne,1182,11,0
New Mexico,1307,11,95.6
North Carolina,1301,11,92.3
Oregon,1332,11,0
Grand Canyon,1213,12,98.4
James Madison,1241,12,0
McNeese St.,1270,12,101.5
UAB,1412,12,0
Charleston,1158,13,0
Samford,1359,13,97.3
Vermont,1436,13,100.5
Florida Atlantic,1194,13,101.9
Akron,1103,14,101
Colgate,1159,14,102.4
Morehead St.,1287,14,101.7
Oakland,1324,14,103.7
Long Beach St.,1253,15,0
Saint Peter's,1389,15,0
South Dakota St.,1355,15,107.2
Western Kentucky,1443,15,0
Grambling State,1212,16,0
Howard,1224,16,0
Longwood,1255,16,0
Montana State,1286,16,0
Stetson,1391,16,0
Wagner,1447,16,0