School,kaggle_id,SRS,AdjNRtg
Alabama,1104,23.19,32.38
Connecticut,1163,22.95,32.5
Houston,1222,22.2,33.42
UCLA,1417,22.11,31.86
Tennessee,1397,20.84,30.64
Texas,1400,20.56,29.33
Kansas,1242,19.2,26.88
Arizona,1112,19.08,26.09
Gonzaga,1211,18.99,26.58
Purdue,1345,18.23,27.21
Creighton,1166,17.83,25.56
Saint Mary's (CA),1388,17.41,26.11
Baylor,1124,17.3,24.26
Marquette,1266,17.07,24.16
Xavier,1462,16.03,22.08
Arkansas,1116,15.99,22.56
West Virginia,1452,15.95,22.44
Duke,1181,15.83,23.45
San Diego State,1361,15.81,23.16
Kansas State,1243,15.79,22.24
TCU,1395,15.61,21.52
Iowa State,1235,15.36,21.77
Indiana,1231,14.94,21.42
Illinois,1228,14.81,20.58
Kentucky,1246,14.76,21.61
Maryland,1268,14.58,21.97
Rutgers,1353,14.58,20.92
Memphis,1272,14.5,20.35
Auburn,1120,14.35,20.45
Michigan State,1277,14.25,20.8
Utah State,1429,14.23,19.98
Iowa,1234,14.08,19.82
Miami (FL),1274,13.98,19.94
Florida Atlantic,1194,13.92,20.26
Oregon,1332,13.83,19.73
Texas A&M,1401,13.76,20.1
Northwestern,1321,13.68,19.44
Virginia,1438,13.28,20.2
Southern California,1425,13.06,18.26
Penn State,1336,13.04,19.01
Ohio State,1326,12.99,18.71
North Carolina,1314,12.94,18.31
Providence,1344,12.89,17.6
Boise State,1129,12.78,18.45
Oklahoma State,1329,12.62,18.11
Texas Tech,1403,12.58,17.05
NC State,1301,12.5,17.22
Michigan,1276,12.43,17.71
Cincinnati,1153,11.77,16.39
Mississippi State,1280,11.43,16.78
Missouri,1281,11.41,16.01
Oklahoma,1328,11.38,16.77
Utah,1428,11.34,16.03
Arizona State,1113,11.29,16.21
Colorado,1160,11.17,15.73
UCF,1416,11.09,17.1
Seton Hall,1371,11,15.63
Wisconsin,1458,10.98,16.02
UAB,1412,10.96,15.27
Florida,1196,10.9,15.62
New Mexico,1307,10.82,14.98
North Texas,1317,10.71,17.36
Villanova,1437,10.61,15.66
Pittsburgh,1338,10.59,15.33
Clemson,1155,10.53,15.12
Washington State,1450,10.53,15.41
Nevada,1305,10.01,14.81
Virginia Commonwealth,1433,9.89,14.17
Stanford,1390,9.64,13.68
Brigham Young,1140,9.43,13.69
Virginia Tech,1439,9.36,13.84
Vanderbilt,1435,8.98,12.69
Dayton,1173,8.71,13.44
St. John's (NY),1385,8.64,11.98
Oral Roberts,1331,8.55,11.53
Santa Clara,1365,8.55,11.66
Utah Valley,1430,8.48,11.6
College of Charleston,1158,8.4,11.23
Liberty,1251,8.36,13.46
Wake Forest,1448,8.25,11.55
Drake,1179,7.84,11.9
Yale,1463,7.81,11.6
Iona,1233,7.61,10.99
Kent State,1245,7.53,10.41
Nevada-Las Vegas,1424,7.2,10.03
Sam Houston,1358,7.15,10.59
Marshall,1267,7.13,8.98
Nebraska,1304,7.12,10.17
Washington,1449,6.78,9.41
Bradley,1133,6.51,9.88
Saint Louis,1387,6.04,9.1
San Francisco,1362,6,8.25
Butler,1139,5.85,7.68
Wichita State,1455,5.78,8.18
Toledo,1405,5.76,7.99
Mississippi,1279,5.73,7.83
Colorado State,1161,5.64,7.97
Tulane,1408,5.46,7.62
Syracuse,1393,5.39,7.39
San Jose State,1363,5.17,7.68
Loyola Marymount,1258,4.98,7.36
Hofstra,1220,4.96,7.62
James Madison,1241,4.96,6.26
Furman,1202,4.89,6.96
Indiana State,1232,4.86,6.74
Princeton,1343,4.76,6.63
Temple,1396,4.68,6.91
Grand Canyon,1213,4.43,6.1
Louisiana,1418,4.27,6.44
Akron,1103,4.19,6.12
UC Irvine,1414,4.16,5.93
Charlotte,1150,3.9,6.16
South Alabama,1375,3.58,5.93
Duquesne,1182,3.48,5.27
Southern Utah,1381,3.39,4.71
Louisiana State,1261,3.32,4.16
Southern Mississippi,1379,3.31,4.9
UC Santa Barbara,1364,3.3,4.84
Middle Tennessee,1292,2.95,4.46
DePaul,1177,2.9,4.42
Fresno State,1201,2.6,3.4
Hawaii,1218,2.36,3.76
Fordham,1200,2.26,3.08
Colgate,1159,2.2,3.33
Montana State,1286,2.18,3.4
Notre Dame,1323,2.09,2.87
Georgia Tech,1210,2.08,2.28
Wyoming,1461,2.02,2.47
Air Force,1102,2,2.68
Davidson,1172,1.99,2.9
South Florida,1378,1.95,3.08
Belmont,1125,1.88,2.8
Georgia,1208,1.8,2.63
Cal State Fullerton,1168,1.73,2.64
George Mason,1206,1.73,2.54
Portland,1339,1.68,2.22
Youngstown State,1464,1.67,2.19
UNC Greensboro,1422,1.66,2.53
Vermont,1436,1.63,2.92
Eastern Washington,1186,1.47,2.26
Richmond,1350,1.43,2.31
Troy,1407,1.39,1.74
Southern Illinois,1356,1.15,1.99
Boston College,1130,1.09,1.35
Ohio,1325,1.07,1.57
Seattle,1370,0.91,1.39
Pennsylvania,1335,0.85,1.6
Stephen F. Austin,1372,0.73,1.48
UC Riverside,1415,0.72,0.9
Cornell,1165,0.63,0.44
Massachusetts-Lowell,1262,0.63,0.8
Kennesaw State,1244,0.6,0.73
Samford,1359,0.5,0.82
Missouri State,1283,0.35,0.35
Towson,1406,0.24,0.89
California Baptist,1465,0.21,0.46
Louisiana Tech,1256,0.1,0.01
Oregon State,1333,0.08,-0.65
Pepperdine,1337,-0.12,0.17
Southern Methodist,1374,-0.12,0.15
Utah Tech,1469,-0.16,-0.31
East Carolina,1187,-0.29,-0.29
Minnesota,1278,-0.3,-0.83
UC Davis,1413,-0.31,-0.23
Saint Joseph's,1386,-0.33,-0.7
Florida State,1199,-0.38,-0.54
Old Dominion,1330,-0.41,-0.98
Pacific,1334,-0.56,-0.85
Long Beach State,1253,-0.58,-0.98
Harvard,1217,-0.71,-0.86
UTEP,1431,-0.74,-0.86
Tarleton State,1470,-0.76,-1.4
Western Kentucky,1443,-0.81,-1.21
Northern Kentucky,1297,-0.83,-0.79
Georgetown,1207,-1.07,-1.5
Montana,1285,-1.15,-1.83
UNC Wilmington,1423,-1.17,-1.45
Ball State,1123,-1.2,-1.37
St. Bonaventure,1382,-1.32,-1.77
Massachusetts,1269,-1.34,-2.13
Eastern Kentucky,1184,-1.47,-1.94
Appalachian State,1111,-1.5,-2.29
New Mexico State,1308,-1.56,-2.22
UNC Asheville,1421,-1.74,-2.62
Longwood,1255,-1.75,-2.2
South Dakota State,1355,-1.82,-2.34
Radford,1347,-1.86,-2.57
George Washington,1203,-1.93,-2.4
Lipscomb,1252,-1.95,-2.92
Rice,1349,-1.95,-2.65
San Diego,1360,-2.06,-2.79
Drexel,1180,-2.27,-2.79
South Carolina,1376,-2.28,-3.73
Texas State,1402,-2.32,-3.56
Chattanooga,1151,-2.34,-3.26
Wright State,1460,-2.34,-3.43
Quinnipiac,1346,-2.43,-3.54
Brown,1135,-2.47,-3.25
Texas A&M-Corpus Christi,1394,-2.57,-3.25
Cleveland State,1156,-2.6,-3.7
Florida Gulf Coast,1195,-2.63,-3.82
Northern Iowa,1320,-2.68,-3.85
Florida International,1198,-2.71,-3.26
Abilene Christian,1101,-2.79,-3.67
La Salle,1247,-2.79,-4.07
Navy,1298,-2.79,-3.75
Stetson,1391,-2.83,-3.89
North Carolina Central,1300,-2.91,-3.96
Weber State,1451,-2.94,-4.44
Buffalo,1138,-2.97,-3.27
St. Thomas,1472,-3.1,-4.08
Detroit Mercy,1178,-3.21,-4.69
Georgia Southern,1204,-3.25,-4.6
California,1143,-3.36,-6.08
Siena,1373,-3.44,-4.76
Rider,1351,-3.49,-4.9
Bryant,1136,-3.59,-5.09
Norfolk State,1313,-3.72,-5.15
Gardner-Webb,1205,-3.84,-5.25
Northern Arizona,1319,-3.87,-5.32
Grambling,1212,-4.03,-5.11
Queens (NC),1474,-4.16,-6.21
Rhode Island,1348,-4.16,-5.67
Murray State,1293,-4.45,-7.02
North Dakota State,1295,-4.56,-6.21
Sacramento State,1170,-4.63,-7.06
Loyola (IL),1260,-4.65,-6.52
Northern Colorado,1294,-4.65,-6.58
Milwaukee,1454,-4.69,-6.63
Northwestern State,1322,-4.72,-6.49
UT Arlington,1426,-4.98,-7.66
Wofford,1459,-5.02,-7.39
Howard,1224,-5.04,-7.14
Mercer,1273,-5.11,-7.36
Portland State,1340,-5.17,-6.95
Campbell,1144,-5.23,-7.69
Louisville,1257,-5.39,-8.35
Purdue Fort Wayne,1236,-5.46,-8.35
Delaware,1174,-5.57,-7.53
Robert Morris,1352,-5.83,-8.51
East Tennessee State,1190,-6,-8.75
Jacksonville,1239,-6.19,-9.31
Maryland-Baltimore County,1420,-6.22,-9.01
Western Carolina,1441,-6.34,-8.88
SIU Edwardsville,1188,-6.45,-8.85
Texas-Rio Grande Valley,1410,-6.48,-8.75
Northern Illinois,1296,-6.55,-8.97
Idaho State,1226,-6.56,-9.4
Winthrop,1457,-6.63,-9.6
Jacksonville State,1240,-6.67,-9.92
North Florida,1316,-6.75,-9.56
Niagara,1310,-6.78,-10.17
Georgia State,1209,-6.79,-9.78
UC San Diego,1471,-6.94,-10.69
Fairfield,1193,-6.98,-10.42
Canisius,1145,-7.05,-9.8
Morehead State,1287,-7.1,-9.63
Army,1119,-7.13,-9.86
Illinois State,1229,-7.38,-10.5
Southeast Missouri State,1369,-7.4,-10.16
Bellarmine,1468,-7.42,-11.54
South Carolina Upstate,1367,-7.44,-11.1
Miami (OH),1275,-7.46,-10.34
Cal Poly,1142,-7.51,-11.8
Western Illinois,1442,-7.59,-11.34
North Dakota,1315,-7.6,-11.13
Maryland-Eastern Shore,1271,-7.63,-10.94
UTSA,1427,-7.74,-10.42
Lafayette,1248,-7.83,-11.67
Dartmouth,1171,-7.98,-11.1
Southeastern Louisiana,1368,-8,-10.72
Oakland,1324,-8.06,-11.29
Arkansas State,1117,-8.07,-11.98
Boston University,1131,-8.1,-11.71
Mount St. Mary's,1291,-8.18,-11.9
American,1110,-8.26,-11.95
Cal State Bakersfield,1167,-8.34,-12.63
Marist,1265,-8.44,-12.26
Bowling Green State,1132,-8.46,-11.7
Tulsa,1409,-8.48,-12.67
Nicholls State,1311,-8.54,-11.22
Southern,1380,-8.57,-11.83
Louisiana-Monroe,1419,-8.64,-12.44
North Alabama,1466,-8.65,-11.83
Tennessee-Martin,1404,-8.67,-12.19
Idaho,1225,-8.7,-13.24
Valparaiso,1434,-8.72,-12.34
Alcorn State,1108,-8.74,-12.08
Illinois-Chicago,1227,-8.83,-12.71
Southern Indiana,1475,-8.87,-12.59
Maine,1263,-8.88,-13.06
Prairie View,1341,-8.92,-12.19
Coastal Carolina,1157,-8.93,-12.75
FDU,1192,-8.98,-12.64
Tennessee State,1398,-9.01,-12.98
New Hampshire,1306,-9.05,-12.99
Lehigh,1250,-9.08,-13.14
Tennessee Tech,1399,-9.4,-13.15
Charleston Southern,1149,-9.44,-14.05
Denver,1176,-9.56,-13.86
Kansas City,1282,-9.78,-14.33
Manhattan,1264,-9.87,-14.03
South Dakota,1377,-9.87,-14.42
High Point,1219,-9.88,-13.82
Saint Peter's,1389,-9.9,-15.08
Bucknell,1137,-9.93,-14.28
Northeastern,1318,-10.33,-14.94
Cal State Northridge,1169,-10.4,-15.68
Binghamton,1127,-10.44,-15.35
Western Michigan,1444,-10.55,-15.71
Texas Southern,1411,-10.56,-14.62
Alabama A&M,1105,-10.78,-14.81
Omaha,1303,-10.8,-15.69
William & Mary,1456,-10.99,-16.07
Eastern Michigan,1185,-11.05,-15.21
Texas A&M-Commerce,1477,-11.09,-15.54
Merrimack,1467,-11.18,-15.96
Chicago State,1152,-11.29,-16.2
Jackson State,1238,-11.36,-15.69
North Carolina A&T,1299,-11.4,-16.16
Morgan State,1288,-11.58,-15.66
Wagner,1447,-11.81,-16.44
Central Michigan,1141,-11.97,-17.36
Loyola (MD),1259,-12.05,-18.1
The Citadel,1154,-12.13,-17.41
Austin Peay,1122,-12.17,-17.59
Stony Brook,1392,-12.45,-18.34
NJIT,1312,-12.57,-18.61
Little Rock,1114,-12.62,-17.51
Sacred Heart,1357,-12.78,-17.92
Elon,1189,-12.85,-18.51
Stonehill,1476,-12.86,-18.33
Arkansas-Pine Bluff,1115,-12.99,-18.47
Saint Francis (PA),1384,-13.41,-19.64
Presbyterian,1342,-13.55,-20.5
McNeese State,1270,-13.63,-19.44
Central Connecticut State,1148,-13.68,-19.79
Central Arkansas,1146,-13.72,-18.73
Eastern Illinois,1183,-14.09,-20.13
New Orleans,1309,-14.23,-19.55
Holy Cross,1221,-14.27,-20.41
Albany (NY),1107,-14.36,-21.09
Columbia,1162,-14.37,-19.76
Coppin State,1164,-14.76,-20.06
Lindenwood,1473,-14.8,-20.79
Incarnate Word,1230,-15.06,-21.1
Evansville,1191,-15.14,-21.23
Hampton,1214,-15.25,-21.32
Monmouth,1284,-15.64,-23.08
VMI,1440,-16.14,-23.65
Alabama State,1106,-16.33,-22.66
St. Francis (NY),1383,-16.49,-24
South Carolina State,1354,-16.73,-22.09
Bethune-Cookman,1126,-17.15,-23.61
Houston Christian,1223,-17.18,-23.34
Lamar,1249,-17.4,-24.42
Delaware State,1175,-17.7,-24.75
Florida A&M,1197,-17.81,-25.94
Mississippi Valley State,1290,-18.28,-26
IUPUI,1237,-19,-27.46
Green Bay,1453,-20.3,-30.15
Hartford,1216,-23.12,-33.98
Long Island University,1254,-24.46,-33.06