Team,kaggle_id,seed,AdjO,AdjD,AdjEM (SoS),Luck
UConn,1163,1,126.6,94.4,10.46,0.047
Iowa State,1235,2,113.9,87.1,10.38,0.012
Illinois,1228,3,125.6,101.6,11.08,-0.032
Auburn,1120,4,120.6,91.7,9.6,-0.067
San Diego State,1361,5,113.5,93.8,11.03,-0.032
BYU,1140,6,120.5,99.5,9.64,-0.034
Washington State,1450,7,113.4,97.2,6.98,0.021
Florida Atlantic,1194,8,119,102.7,5.28,-0.012
Northwestern,1321,9,116.7,100.8,9.71,0.008
Drake,1179,10,115.6,100.9,2.6,0.065
Duquesne,1182,11,106.9,97.5,4.86,0.049
UAB,1412,12,113.7,107.4,4.45,0.116
Yale,1463,13,110.8,101.4,2.09,0.001
Morehead State,1287,14,109,103.5,-5.79,0.044
South Dakota State,1355,15,108.7,105.7,-2.4,-0.018
Stetson,1391,16,110.3,114.4,-3.33,0.137
Houston,1222,1,118.9,87.1,11.75,0.053
Marquette,1266,2,118.3,95.6,13.13,0.036
Kentucky,1246,3,122.7,102.7,9.11,-0.027
Duke,1181,4,121.8,97,8.55,-0.077
Wisconsin,1458,5,120.1,99.5,14,-0.031
Texas Tech,1403,6,117.9,99.4,10.53,0.04
Florida,1196,7,119.3,101.1,10.72,-0.007
Nebraska,1304,8,115.9,97.7,9.09,0.014
Texas A&M,1401,9,116,99.9,11.46,-0.025
Boise State,1129,10,114,97.6,9.31,0.01
Colorado,1160,10,117.6,99.1,8.13,0.012
North Carolina State,1301,11,114.4,101.3,9.33,0
James Madison,1241,12,113.9,101,-4.44,0.027
Vermont,1436,13,107.1,100.1,-2.65,0.063
Oakland,1324,14,108.6,105.8,-1.08,0.082
Western Kentucky,1443,15,105.6,102.5,-2.53,-0.051
Longwood,1255,16,105.7,104.8,-4.01,-0.047
Purdue,1345,1,125,95.9,13.74,0.045
Tennessee,1397,2,117,91,12.63,-0.03
Creighton,1166,3,120.1,96.7,11.14,-0.013
Kansas,1242,4,113.4,94.2,13.73,0.048
Gonzaga,1211,5,121,99.4,3.38,-0.052
South Carolina,1376,6,114.7,99.7,7.59,0.152
Texas,1400,7,118.5,100.1,10.49,-0.034
Utah State,1429,8,115.6,100.5,6.02,0.1
TCU,1395,9,115.1,97.8,9.83,-0.049
Colorado State,1161,10,115.4,98.8,9.15,-0.025
Virginia,1438,10,105.4,93.3,8.03,0.109
Oregon,1332,11,114,100.6,9.1,0.049
McNeese,1270,12,114,101.2,-6.72,0.016
Samford,1359,13,113.1,103.3,-2.73,0.129
Akron,1103,14,107,102.1,-1.86,-0.002
Saint Peter's,1389,15,98.6,100.9,-4.3,0.021
Grambling State,1212,16,99.3,107.1,-5.62,0.131
Montana State,1286,16,103.3,107.2,-3.05,0
North Carolina,1314,1,117.8,93.2,11.24,-0.024
Arizona,1112,2,121.1,94.5,10.79,-0.043
Baylor,1124,3,122.5,100.2,14.07,-0.004
Alabama,1104,4,125.6,103.1,13.67,-0.028
Saint Mary's,1388,5,114.9,95,3.06,0.02
Clemson,1155,6,117.4,100.5,10.08,-0.022
Dayton,1173,7,118.6,101.3,5.94,0.003
Mississippi State,1280,8,113.7,95.7,11.15,-0.044
Michigan State,1277,9,113.8,93.7,12.3,-0.104
Nevada,1305,10,115.5,98.7,5.69,0.059
New Mexico,1307,11,115.4,96.5,6.84,-0.021
Grand Canyon,1213,12,113.5,99.6,-1.42,0.022
Charleston,1158,13,113.7,106.1,-2.14,0.05
Colgate,1159,14,104.7,102.5,-6.97,0.057
Long Beach State,1253,15,107.9,107.9,-0.56,0.047
Howard,1224,16,105.5,113.8,-6.93,0.023
Wagner,1447,16,95.8,105.9,-8.19,0.022