Team,kaggle_id,seed,Ken Pom,Massey
UConn,1163,1,32.21,2
Iowa State,1235,2,26.72,5
Illinois,1228,3,23.99,9
Auburn,1120,4,28.9,4
San Diego State,1361,5,19.7,22
BYU,1140,6,21.01,18
Washington State,1450,7,16.22,38
Florida Atlantic,1194,8,16.24,36
Northwestern,1321,9,15.91,43
Drake,1179,10,14.71,42
Duquesne,1182,11,9.37,71
UAB,1412,12,6.28,94
Yale,1463,13,9.47,85
Morehead State,1287,14,5.47,118
South Dakota State,1355,15,2.99,142
Stetson,1391,16,-4.1,192
Houston,1222,1,31.72,1
Marquette,1266,2,22.74,10
Kentucky,1246,3,20.02,17
Duke,1181,4,24.88,11
Wisconsin,1458,5,20.6,19
Texas Tech,1403,6,18.54,24
Florida,1196,7,18.19,21
Nebraska,1304,8,18.19,27
Texas A&M,1401,9,16.11,46
Boise State,1129,10,16.38,41
Colorado,1160,10,18.47,25
North Carolina State,1301,11,13.06,56
James Madison,1241,12,12.9,53
Vermont,1436,13,6.98,96
Oakland,1324,14,2.82,123
Western Kentucky,1443,15,3.06,132
Longwood,1255,16,0.96,165
Purdue,1345,1,29.12,3
Tennessee,1397,2,25.97,7
Creighton,1166,3,23.4,13
Kansas,1242,4,19.23,16
Gonzaga,1211,5,21.56,15
South Carolina,1376,6,15.06,34
Texas,1400,7,18.54,24
Utah State,1429,8,15.11,39
TCU,1395,9,17.29,33
Colorado State,1161,10,16.6,37
Virginia,1438,10,13.23,57
Oregon,1332,11,13.43,50
McNeese,1270,12,12.86,65
Samford,1359,13,9.79,73
Akron,1103,14,4.94,111
Saint Peter's,1389,15,-2.32,195
Grambling State,1212,16,-7.81,257
Montana State,1286,16,-3.9,215
North Carolina,1314,1,24.65,8
Arizona,1112,2,26.62,6
Baylor,1124,3,22.3,12
Alabama,1104,4,22.48,14
Saint Mary's,1388,5,19.89,20
Clemson,1155,6,16.94,35
Dayton,1173,7,17.3,31
Mississippi State,1280,8,17.98,29
Michigan State,1277,9,20.03,26
Nevada,1305,10,16.81,30
New Mexico,1307,11,18.94,23
Grand Canyon,1213,12,13.91,51
Charleston,1158,13,7.61,315
Colgate,1159,14,2.15,130
Long Beach State,1253,15,0,160
Howard,1224,16,-8.26,273
Wagner,1447,16,-10.09,294