Team,kaggle_id,seed,SoS,Off Rebound Rate,TOV/Pace,AdjEM,,,,,,,,,,,,,,,,,,,,,
UConn,1163,1,11.8,0.301987768,5.498489426,32.21,,,,,,,,,,,,,,,,,,,,,
Iowa State,1235,2,11.6,0.318063959,8.739002933,26.72,,,,,,,,,,,,,,,,,,,,,
Illinois,1228,3,10.9,0.31316726,4.226950355,23.99,,,,,,,,,,,,,,,,,,,,,
Auburn,1120,4,10.1,0.298136646,6.169014085,28.9,,,,,,,,,,,,,,,,,,,,,
San Diego State,1361,5,8,0.308108108,6.294642857,19.7,,,,,,,,,,,,,,,,,,,,,
BYU,1140,6,10.1,0.301223242,5.285714286,21.01,,,,,,,,,,,,,,,,,,,,,
Washington State,1450,7,7.3,0.297427653,5.262368816,16.22,,,,,,,,,,,,,,,,,,,,,
Florida Atlantic,1194,8,5.2,0.308121019,5.528219971,16.24,,,,,,,,,,,,,,,,,,,,,
Northwestern,1321,9,8.8,0.269809428,6.089644513,15.91,,,,,,,,,,,,,,,,,,,,,
Drake,1179,10,2,0.230769231,6.102189781,14.71,,,,,,,,,,,,,,,,,,,,,
Duquesne,1182,11,3.2,0.300568643,6.955223881,9.37,,,,,,,,,,,,,,,,,,,,,
UAB,1412,12,2.7,0.337191358,5.668604651,6.28,,,,,,,,,,,,,,,,,,,,,
Yale,1463,13,1.3,0.297979798,5.987841945,9.47,,,,,,,,,,,,,,,,,,,,,
Morehead State,1287,14,-4.2,0.294776119,5.399698341,5.47,,,,,,,,,,,,,,,,,,,,,
South Dakota State,1355,15,-2.9,0.232673267,5.618631732,2.99,,,,,,,,,,,,,,,,,,,,,
Stetson,1391,16,-3.8,0.277403035,4.836795252,-4.1,,,,,,,,,,,,,,,,,,,,,
Houston,1222,1,12.5,0.36328125,8.442367601,31.72,,,,,,,,,,,,,,,,,,,,,
Marquette,1266,2,11.8,0.267264574,7.215007215,22.74,,,,,,,,,,,,,,,,,,,,,
Kentucky,1246,3,9.4,0.267054909,5.189189189,20.02,,,,,,,,,,,,,,,,,,,,,
Duke,1181,4,9.1,0.288280582,5.40620384,24.88,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1458,5,11.6,0.297979798,5.987841945,20.6,,,,,,,,,,,,,,,,,,,,,
Texas Tech,1403,6,9.8,0.282251082,5.639880952,18.54,,,,,,,,,,,,,,,,,,,,,
Florida,1196,7,9.5,0.34605087,5.164383562,18.19,,,,,,,,,,,,,,,,,,,,,
Nebraska,1304,8,8.6,0.254792332,5.468975469,18.19,,,,,,,,,,,,,,,,,,,,,
Texas A&M,1401,9,9.7,0.404269973,5.762962963,16.11,,,,,,,,,,,,,,,,,,,,,
Boise State,1129,10,6.5,0.306722689,5.439642325,16.38,,,,,,,,,,,,,,,,,,,,,
Colorado,1160,10,8.2,0.270164448,5.253256151,18.47,,,,,,,,,,,,,,,,,,,,,
NC State,1301,11,7.6,0.296266879,6.540697674,13.06,,,,,,,,,,,,,,,,,,,,,
James Madison,1241,12,-1.1,0.298258895,6.838440111,12.9,,,,,,,,,,,,,,,,,,,,,
Vermont,1436,13,-1.8,0.220910624,5.213414634,6.98,,,,,,,,,,,,,,,,,,,,,
Oakland,1324,14,-0.6,0.293924466,5.630498534,2.82,,,,,,,,,,,,,,,,,,,,,
Western Kentucky,1443,15,-2.5,0.264079148,6.184210526,3.06,,,,,,,,,,,,,,,,,,,,,
Longwood,1255,16,-4.1,0.350943396,6.866764275,0.96,,,,,,,,,,,,,,,,,,,,,
Purdue,1345,1,12.7,0.301051051,4.666666667,29.12,,,,,,,,,,,,,,,,,,,,,
Tennessee,1397,2,11.7,0.301127214,6.04815864,25.97,,,,,,,,,,,,,,,,,,,,,
Creighton,1166,3,10.5,0.219110379,3.652430044,23.4,,,,,,,,,,,,,,,,,,,,,
Kansas,1242,4,11.5,0.223284101,5.423242468,19.23,,,,,,,,,,,,,,,,,,,,,
Gonzaga,1211,5,7.4,0.280898876,5.256410256,21.56,,,,,,,,,,,,,,,,,,,,,
South Carolina,1376,6,7.2,0.320101351,4.976816074,15.06,,,,,,,,,,,,,,,,,,,,,
Texas,1400,7,10.1,0.292947559,5.967741935,18.4,,,,,,,,,,,,,,,,,,,,,
Utah State,1429,8,4.6,0.267111853,5.701881331,15.11,,,,,,,,,,,,,,,,,,,,,
TCU,1395,9,9.8,0.33715221,6.968838527,17.29,,,,,,,,,,,,,,,,,,,,,
Colorado State,1161,10,6.4,0.236135957,5.964125561,16.6,,,,,,,,,,,,,,,,,,,,,
Virginia,1438,10,6.8,0.268698061,6.454248366,12.08,,,,,,,,,,,,,,,,,,,,,
Oregon,1332,11,8.1,0.290627687,6.12244898,13.43,,,,,,,,,,,,,,,,,,,,,
McNeese State,1270,12,-4.1,0.308724832,8.044444444,12.86,,,,,,,,,,,,,,,,,,,,,
Samford,1359,13,-1.9,0.293344289,7.604306864,9.79,,,,,,,,,,,,,,,,,,,,,
Akron,1103,14,-0.7,0.282747604,5.820895522,4.94,,,,,,,,,,,,,,,,,,,,,
Saint Peter's,1389,15,-4,0.353508772,6.636085627,-2.32,,,,,,,,,,,,,,,,,,,,,
Grambling State,1212,16,-7.4,0.299817185,6.54247392,-7.81,,,,,,,,,,,,,,,,,,,,,
Montana State,1286,16,-4.3,0.222862632,6.623748212,-3.9,,,,,,,,,,,,,,,,,,,,,
North Carolina,1314,1,10.2,0.294496069,5.084033613,24.65,,,,,,,,,,,,,,,,,,,,,
Arizona,1112,2,11,0.310589908,6.084583902,26.62,,,,,,,,,,,,,,,,,,,,,
Baylor,1124,3,11.8,0.324161651,5.904334828,22.3,,,,,,,,,,,,,,,,,,,,,
Alabama,1104,4,12,0.321231255,5.040431267,22.48,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,1388,5,5.6,0.33256705,5.637795276,19.89,,,,,,,,,,,,,,,,,,,,,
Clemson,1155,6,8.4,0.253001715,4.385185185,16.94,,,,,,,,,,,,,,,,,,,,,
Dayton,1173,7,5.4,0.242829828,4.876160991,17.3,,,,,,,,,,,,,,,,,,,,,
Mississippi State,1280,8,9.6,0.324386503,6.197387518,17.98,,,,,,,,,,,,,,,,,,,,,
Michigan State,1277,9,10.9,0.293963255,6.204819277,20.03,,,,,,,,,,,,,,,,,,,,,
Nevada,1305,10,5.3,0.258575198,5.865671642,16.81,,,,,,,,,,,,,,,,,,,,,
New Mexico,1307,11,6,0.320836337,6.827586207,18.94,,,,,,,,,,,,,,,,,,,,,
Grand Canyon,1213,12,0,0.31031746,6.59025788,13.91,,,,,,,,,,,,,,,,,,,,,
College of Charleston,1158,13,-1,0.325925926,5.614285714,7.61,,,,,,,,,,,,,,,,,,,,,
Colgate,1159,14,-3.2,0.226863227,5.729323308,2.15,,,,,,,,,,,,,,,,,,,,,
Long Beach State,1253,15,-1.6,0.320978503,6.629986245,0,,,,,,,,,,,,,,,,,,,,,
Howard,1224,16,-6.6,0.314496315,6.043165468,-8.26,,,,,,,,,,,,,,,,,,,,,
Wagner,1447,16,-7.8,0.316534041,5.564387917,-10.09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
