Team,kaggle_id,Seed,3p%,AdjD
UConn,1163,1,0.367,94.4
Iowa St.,1235,2,0.349,87.1
Illinois,1228,3,0.35,101.6
Auburn,1120,4,0.352,91.7
San Diego St.,1361,5,0.313,93.8
BYU,1140,6,0.348,99.5
Washington St.,1450,7,0.34,97.2
Florida Atlantic,1194,8,0.356,102.7
Northwestern,1321,9,0.394,100.8
Drake,1179,10,0.367,100.9
Duquesne,1182,11,0.34,97.5
UAB,1412,12,0.326,107.4
Yale,1463,13,0.347,101.4
Morehead St.,1287,14,0.361,103.5
South Dakota St.,1355,15,0.363,105.7
Stetson,1391,16,0.37,114.4
Houston,1222,1,0.347,87.1
Marquette,1266,2,0.358,95.6
Kentucky,1246,3,0.412,102.7
Duke,1181,4,0.377,97
Wisconsin,1458,5,0.348,99.5
Texas Tech,1403,6,0.365,99.4
Florida,1196,7,0.342,101.1
Nebraska,1304,8,0.358,97.7
Texas A&M,1401,9,0.284,99.9
Boise St.,1129,10,0.345,97.6
Colorado,1160,10,0.394,99.1
North Carolina,1301,11,0.354,93.2
James Madison,1241,12,0.365,101
Vermont,1436,13,0.344,100.1
Oakland,1324,14,0.351,105.8
Western Kentucky,1443,15,0.34,102.5
Longwood,1255,16,0.343,104.8
Purdue,1345,1,0.408,95.9
Tennessee,1397,2,0.342,91
Creighton,1166,3,0.361,96.7
Kansas,1242,4,0.329,94.2
Gonzaga,1211,5,0.354,99.4
South Carolina,1376,6,0.335,99.7
Texas,1400,7,0.362,100.1
Utah St.,1429,8,0.331,100.5
TCU,1395,9,0.356,97.8
Colorado St.,1161,10,0.341,98.8
Virginia,1438,10,0.363,93.3
Oregon,1332,11,0.336,100.6
McNeese St.,1270,12,0.388,101.2
Samford,1359,13,0.393,103.3
Akron,1103,14,0.328,102.1
Saint Peter's,1389,15,0.332,100.9
Grambling St.,1212,16,0.339,107.1
Montana St.,1286,16,0.367,107.2
North Carolina,1314,1,0.354,93.2
Arizona,1112,2,0.371,94.5
Baylor,1124,3,0.388,100.2
Alabama,1104,4,0.365,103.1
Saint Mary's,1388,5,0.355,95
Clemson,1155,6,0.354,100.5
Dayton,1173,7,0.402,101.3
Mississippi St.,1280,8,0.325,95.7
Michigan St.,1277,9,0.359,93.7
Nevada,1305,10,0.365,98.7
New Mexico,1307,11,0.334,96.5
Grand Canyon,1213,12,0.344,99.6
Charleston,1158,13,0.345,106.1
Colgate,1159,14,0.361,102.5
Long Beach St.,1253,15,0.308,107.9
Howard,1224,16,0.374,113.8
Wagner,1447,16,0.322,105.9